episode,total_reward,num_steps,avg_reward_per_step,model,seed
151,-37338.32,719,-51.93,dqn,999
152,-41337.18,719,-57.49,dqn,999
153,-52310.71,719,-72.75,dqn,999
154,-28311.96,719,-39.38,dqn,999
155,-33621.6,719,-46.76,dqn,999
156,-50194.85,719,-69.81,dqn,999
157,-49871.5,719,-69.36,dqn,999
158,-40583.94,719,-56.44,dqn,999
159,-46683.65,719,-64.93,dqn,999
160,-46709.53,719,-64.96,dqn,999
161,-36672.51,719,-51.0,dqn,999
162,-53969.04,719,-75.06,dqn,999
163,-43728.02,719,-60.82,dqn,999
164,-33145.69,719,-46.1,dqn,999
165,-43742.1,719,-60.84,dqn,999
166,-31093.16,719,-43.25,dqn,999
167,-30749.35,719,-42.77,dqn,999
168,-41678.91,719,-57.97,dqn,999
169,-46689.76,719,-64.94,dqn,999
170,-57272.53,719,-79.66,dqn,999
171,-35244.97,719,-49.02,dqn,999
172,-48361.69,719,-67.26,dqn,999
173,-62078.6,719,-86.34,dqn,999
174,-38077.99,719,-52.96,dqn,999
175,-61264.32,719,-85.21,dqn,999
176,-63502.26,719,-88.32,dqn,999
177,-42879.14,719,-59.64,dqn,999
178,-31740.6,719,-44.15,dqn,999
179,-43301.19,719,-60.22,dqn,999
180,-73994.88,719,-102.91,dqn,999
181,-51359.26,719,-71.43,dqn,999
182,-45438.08,719,-63.2,dqn,999
183,-52622.14,719,-73.19,dqn,999
184,-49614.12,719,-69.0,dqn,999
185,-41225.97,719,-57.34,dqn,999
186,-44626.63,719,-62.07,dqn,999
187,-46137.3,719,-64.17,dqn,999
188,-45807.45,719,-63.71,dqn,999
189,-41446.93,719,-57.65,dqn,999
190,-57385.01,719,-79.81,dqn,999
191,-54627.5,719,-75.98,dqn,999
192,-69723.76,719,-96.97,dqn,999
193,-27865.78,719,-38.76,dqn,999
194,-41851.11,719,-58.21,dqn,999
195,-55622.0,719,-77.36,dqn,999
196,-29216.01,719,-40.63,dqn,999
197,-33379.67,719,-46.43,dqn,999
198,-67730.2,719,-94.2,dqn,999
199,-40598.26,719,-56.46,dqn,999
200,-53946.41,719,-75.03,dqn,999
201,-47284.94,719,-65.76,dqn,999
202,-73217.17,719,-101.83,dqn,999
203,-37015.24,719,-51.48,dqn,999
204,-49267.7,719,-68.52,dqn,999
205,-42765.66,719,-59.48,dqn,999
206,-46529.11,719,-64.71,dqn,999
207,-44106.7,719,-61.34,dqn,999
208,-41382.44,719,-57.56,dqn,999
209,-46470.1,719,-64.63,dqn,999
210,-56468.16,719,-78.54,dqn,999
211,-44766.12,719,-62.26,dqn,999
212,-44174.87,719,-61.44,dqn,999
213,-53012.71,719,-73.73,dqn,999
214,-30757.94,719,-42.78,dqn,999
215,-43389.73,719,-60.35,dqn,999
216,-40916.29,719,-56.91,dqn,999
217,-43066.54,719,-59.9,dqn,999
218,-42514.1,719,-59.13,dqn,999
219,-44258.16,719,-61.56,dqn,999
220,-55358.17,719,-76.99,dqn,999
221,-53522.99,719,-74.44,dqn,999
222,-54375.17,719,-75.63,dqn,999
223,-50864.63,719,-70.74,dqn,999
224,-42109.81,719,-58.57,dqn,999
225,-38443.74,719,-53.47,dqn,999
226,-50015.42,719,-69.56,dqn,999
227,-32488.98,719,-45.19,dqn,999
228,-76347.39,719,-106.19,dqn,999
229,-40556.5,719,-56.41,dqn,999
230,-44211.76,719,-61.49,dqn,999
231,-40140.58,719,-55.83,dqn,999
232,-67752.02,719,-94.23,dqn,999
233,-49136.34,719,-68.34,dqn,999
234,-46298.48,719,-64.39,dqn,999
235,-42717.13,719,-59.41,dqn,999
236,-44844.02,719,-62.37,dqn,999
237,-41733.42,719,-58.04,dqn,999
238,-44295.42,719,-61.61,dqn,999
239,-52295.68,719,-72.73,dqn,999
240,-34048.75,719,-47.36,dqn,999
241,-79138.46,719,-110.07,dqn,999
242,-51213.9,719,-71.23,dqn,999
243,-53033.69,719,-73.76,dqn,999
244,-38043.02,719,-52.91,dqn,999
245,-34029.03,719,-47.33,dqn,999
246,-40912.06,719,-56.9,dqn,999
247,-50750.78,719,-70.59,dqn,999
248,-51063.18,719,-71.02,dqn,999
249,-42085.18,719,-58.53,dqn,999
250,-45033.34,719,-62.63,dqn,999
251,-61152.16,719,-85.05,dqn,999
252,-37260.41,719,-51.82,dqn,999
253,-38661.55,719,-53.77,dqn,999
254,-36754.95,719,-51.12,dqn,999
255,-27916.7,719,-38.83,dqn,999
256,-36203.62,719,-50.35,dqn,999
257,-41290.26,719,-57.43,dqn,999
258,-68959.98,719,-95.91,dqn,999
259,-34442.01,719,-47.9,dqn,999
260,-41340.1,719,-57.5,dqn,999
261,-33928.82,719,-47.19,dqn,999
262,-60092.4,719,-83.58,dqn,999
263,-40783.08,719,-56.72,dqn,999
264,-38908.5,719,-54.11,dqn,999
265,-36025.17,719,-50.1,dqn,999
266,-39473.95,719,-54.9,dqn,999
267,-46703.27,719,-64.96,dqn,999
268,-53026.42,719,-73.75,dqn,999
269,-52510.45,719,-73.03,dqn,999
270,-47128.74,719,-65.55,dqn,999
271,-52829.01,719,-73.48,dqn,999
272,-43950.08,719,-61.13,dqn,999
273,-52587.95,719,-73.14,dqn,999
274,-57364.86,719,-79.78,dqn,999
275,-40844.08,719,-56.81,dqn,999
276,-56255.6,719,-78.24,dqn,999
277,-45837.19,719,-63.75,dqn,999
278,-45360.44,719,-63.09,dqn,999
279,-47040.32,719,-65.42,dqn,999
280,-47991.63,719,-66.75,dqn,999
281,-49197.34,719,-68.42,dqn,999
282,-49035.8,719,-68.2,dqn,999
283,-55744.4,719,-77.53,dqn,999
284,-40026.77,719,-55.67,dqn,999
285,-26017.58,719,-36.19,dqn,999
286,-36559.57,719,-50.85,dqn,999
287,-46586.61,719,-64.79,dqn,999
288,-44706.06,719,-62.18,dqn,999
289,-52793.66,719,-73.43,dqn,999
290,-49699.81,719,-69.12,dqn,999
291,-52284.77,719,-72.72,dqn,999
292,-29190.1,719,-40.6,dqn,999
293,-49488.21,719,-68.83,dqn,999
294,-43962.89,719,-61.14,dqn,999
295,-35650.33,719,-49.58,dqn,999
296,-41929.43,719,-58.32,dqn,999
297,-41928.58,719,-58.32,dqn,999
298,-47041.68,719,-65.43,dqn,999
299,-46503.64,719,-64.68,dqn,999
300,-48510.84,719,-67.47,dqn,999
301,-51267.67,719,-71.3,dqn,999
302,-42456.51,719,-59.05,dqn,999
303,-31605.91,719,-43.96,dqn,999
304,-56359.21,719,-78.39,dqn,999
305,-52386.19,719,-72.86,dqn,999
306,-30879.77,719,-42.95,dqn,999
307,-52490.89,719,-73.01,dqn,999
308,-35426.32,719,-49.27,dqn,999
309,-41234.3,719,-57.35,dqn,999
310,-48865.68,719,-67.96,dqn,999
311,-46677.42,719,-64.92,dqn,999
312,-37835.3,719,-52.62,dqn,999
313,-48676.0,719,-67.7,dqn,999
314,-39483.71,719,-54.91,dqn,999
315,-55969.76,719,-77.84,dqn,999
316,-55727.53,719,-77.51,dqn,999
317,-54008.92,719,-75.12,dqn,999
318,-37031.41,719,-51.5,dqn,999
319,-39138.01,719,-54.43,dqn,999
320,-47079.05,719,-65.48,dqn,999
321,-66371.67,719,-92.31,dqn,999
322,-38234.51,719,-53.18,dqn,999
323,-41512.87,719,-57.74,dqn,999
324,-52731.17,719,-73.34,dqn,999
325,-75353.5,719,-104.8,dqn,999
326,-34551.73,719,-48.06,dqn,999
327,-41608.03,719,-57.87,dqn,999
328,-56935.65,719,-79.19,dqn,999
329,-53905.68,719,-74.97,dqn,999
330,-40895.88,719,-56.88,dqn,999
331,-39387.67,719,-54.78,dqn,999
332,-32834.43,719,-45.67,dqn,999
333,-50148.93,719,-69.75,dqn,999
334,-30721.15,719,-42.73,dqn,999
335,-36284.0,719,-50.46,dqn,999
336,-45064.75,719,-62.68,dqn,999
337,-48601.05,719,-67.6,dqn,999
338,-51476.11,719,-71.59,dqn,999
339,-54868.24,719,-76.31,dqn,999
340,-35986.68,719,-50.05,dqn,999
341,-31904.03,719,-44.37,dqn,999
342,-64656.11,719,-89.93,dqn,999
343,-29600.03,719,-41.17,dqn,999
344,-51263.45,719,-71.3,dqn,999
345,-32700.31,719,-45.48,dqn,999
346,-53329.36,719,-74.17,dqn,999
347,-38086.07,719,-52.97,dqn,999
348,-45232.85,719,-62.91,dqn,999
349,-50887.1,719,-70.77,dqn,999
350,-39173.27,719,-54.48,dqn,999
